x, u
0,	0
0.012,	0
0.024,	0
0.036,	0
0.048,	0
0.06,	0
0.072,	0
0.084,	0
0.096,	0
0.108,	0
0.12,	0
0.132,	0
0.144,	0
0.156,	0
0.168,	0
0.18,	0
0.192,	0
0.204,	0
0.216,	0
0.228,	0
0.24,	0
0.252,	0
0.264,	0
0.276,	0
0.288,	0
0.3,	0
0.312,	0
0.324,	0
0.336,	0
0.348,	0
0.36,	0
0.372,	0
0.384,	0
0.396,	0
0.408,	0
0.42,	0
0.432,	0
0.444,	0
0.456,	0
0.468,	0
0.48,	0
0.492,	0
0.504,	0
0.516,	0
0.528,	0
0.54,	0
0.552,	0
0.564,	0
0.576,	0
0.588,	0
0.6,	0
0.612,	0
0.624,	0
0.636,	0
0.648,	0
0.66,	0
0.672,	0
0.684,	0
0.696,	0
0.708,	0
0.72,	0
0.732,	0
0.744,	0
0.756,	0
0.768,	0
0.78,	0
0.792,	0
0.804,	0
0.816,	0
0.828,	0
0.84,	0
0.852,	0
0.864,	0
0.876,	0
0.888,	0
0.9,	0
0.912,	0
0.924,	0
0.936,	0
0.948,	0
0.96,	0
0.972,	0
0.984,	0
0.996,	0
1.008,	0
1.02,	0
1.032,	0
1.044,	0
1.056,	0
1.068,	0
1.08,	0
1.092,	0
1.104,	0
1.116,	0
1.128,	0
1.14,	0
1.152,	0
1.164,	0
1.176,	0
1.188,	0
1.2,	0
1.212,	0
1.224,	0
1.236,	0
1.248,	0
1.26,	0
1.272,	0
1.284,	0
1.296,	0
1.308,	0
1.32,	0
1.332,	0
1.344,	0
1.356,	0
1.368,	0
1.38,	0
1.392,	0
1.404,	0
1.416,	0
1.428,	0
1.44,	0
1.452,	0
1.464,	0
1.476,	0
1.488,	0
1.5,	0
1.512,	0
1.524,	0
1.536,	0
1.548,	0
1.56,	0
1.572,	0
1.584,	0
1.596,	0
1.608,	0
1.62,	0
1.632,	0
1.644,	0
1.656,	0
1.668,	0
1.68,	0
1.692,	0
1.704,	0
1.716,	0
1.728,	0
1.74,	0
1.752,	0
1.764,	0
1.776,	0
1.788,	0
1.8,	0
1.812,	0
1.824,	0
1.836,	0
1.848,	0
1.86,	0
1.872,	0
1.884,	0
1.896,	0
1.908,	0
1.92,	0
1.932,	0
1.944,	0
1.956,	0
1.968,	0
1.98,	0
1.992,	0
2.004,	0
2.016,	0
2.028,	0
2.04,	0
2.052,	0
2.064,	0
2.076,	0
2.088,	0
2.1,	0
2.112,	0
2.124,	0
2.136,	0
2.148,	0
2.16,	0
2.172,	0
2.184,	0
2.196,	0
2.208,	0
2.22,	0
2.232,	0
2.244,	0
2.256,	0
2.268,	0
2.28,	0
2.292,	0
2.304,	0
2.316,	0
2.328,	0
2.34,	0
2.352,	0
2.364,	0
2.376,	0
2.388,	0
2.4,	0
2.412,	0
2.424,	0
2.436,	0
2.448,	0
2.46,	0
2.472,	0
2.484,	0
2.496,	0
2.508,	0
2.52,	0
2.532,	0
2.544,	0
2.556,	0
2.568,	0
2.58,	0
