x, fx
0,	0
0.02,	0
0.04,	0
0.06,	0
0.08,	0
0.1,	0
0.12,	0
0.14,	0
0.16,	0
0.18,	0
0.2,	0
0.22,	0
0.24,	0
0.26,	0
0.28,	0
0.3,	0
0.32,	0
0.34,	0
0.36,	0
0.38,	0
0.4,	0
0.42,	0
0.44,	0
0.46,	0
0.48,	0
0.5,	0
0.52,	0
0.54,	0
0.56,	0
0.58,	0
0.6,	0
0.62,	0
0.64,	0
0.66,	0
0.68,	0
0.7,	0
0.72,	0
0.74,	0
0.76,	0
0.78,	0
0.8,	0
0.82,	0
0.84,	0
0.86,	0
0.88,	0
0.9,	0
0.92,	0
0.94,	0
0.96,	0
0.98,	0
1,	0
1.02,	0
1.04,	0
1.06,	0
1.08,	0
1.1,	0
1.12,	0
1.14,	0
1.16,	0
1.18,	0
1.2,	0
1.22,	0
1.24,	0
1.26,	0
1.28,	0
1.3,	0
1.32,	0
1.34,	0
1.36,	0
1.38,	0
1.4,	0
1.42,	0
1.44,	0
1.46,	0
1.48,	0
1.5,	0
1.52,	0
1.54,	0
1.56,	0
1.58,	0
1.6,	0
1.62,	0
1.64,	0
1.66,	0
1.68,	0
1.7,	0
1.72,	0
1.74,	0
1.76,	0
1.78,	0
1.8,	0
1.82,	0
1.84,	0
1.86,	0
1.88,	0
1.9,	0
1.92,	0
1.94,	0
1.96,	0
1.98,	0
2,	0
2.02,	0
2.04,	0
2.06,	0
2.08,	0
2.1,	0
2.12,	0
2.14,	0
2.16,	0
2.18,	0
2.2,	0
2.22,	0
2.24,	0
2.26,	0
2.28,	0
2.3,	0
2.32,	0
2.34,	0
2.36,	1.4013e-45
2.38,	-2.8026e-45
2.4,	2.8026e-45
2.42,	-2.8026e-45
2.44,	5.60519e-45
2.46,	-1.26117e-44
2.48,	1.54143e-44
2.5,	-2.10195e-44
2.52,	1.26117e-44
2.54,	2.52234e-44
2.56,	-1.30321e-43
2.58,	3.53127e-43
2.6,	-7.14662e-43
2.62,	1.11123e-42
2.64,	-1.12664e-42
2.66,	-2.41023e-43
2.68,	4.60327e-42
2.7,	-1.34132e-41
2.72,	2.52528e-41
2.74,	-3.04418e-41
2.76,	4.88633e-42
2.78,	8.81753e-41
2.8,	-2.69646e-40
2.82,	4.67816e-40
2.84,	-4.03519e-40
2.86,	-4.49451e-40
2.88,	2.54945e-39
2.9,	-5.27515e-39
2.92,	5.35037e-39
2.94,	3.6333e-39
2.96,	-2.6709e-38
2.98,	5.42223e-38
3,	-4.45939e-38
3.02,	-7.02642e-38
3.04,	3.09645e-37
3.06,	-4.83636e-37
3.08,	8.69462e-38
3.1,	1.37216e-36
3.12,	-3.25229e-36
3.14,	2.47446e-36
3.16,	5.33279e-36
3.18,	-1.87954e-35
3.2,	2.02357e-35
3.22,	2.09785e-35
3.24,	-1.04704e-34
3.26,	1.26976e-34
3.28,	1.05311e-34
3.3,	-5.92071e-34
3.32,	6.82037e-34
3.34,	7.49245e-34
3.36,	-3.40155e-33
3.38,	3.00273e-33
3.4,	6.23853e-33
3.42,	-1.89334e-32
3.44,	7.55408e-33
3.46,	4.99019e-32
3.48,	-9.21373e-32
3.5,	-3.83382e-32
3.52,	3.43828e-31
3.54,	-2.99014e-31
3.56,	-7.49465e-31
3.58,	1.81187e-30
3.6,	4.31537e-31
3.62,	-6.28157e-30
3.64,	4.89446e-30
3.66,	1.55907e-29
3.68,	-2.99902e-29
3.7,	-2.45424e-29
3.72,	1.17265e-28
3.74,	-1.08622e-29
3.76,	-3.73469e-28
3.78,	2.89408e-28
3.8,	1.03564e-27
3.82,	-1.55549e-27
3.84,	-2.55163e-27
3.86,	6.37169e-27
3.88,	5.54025e-27
3.9,	-2.32431e-26
3.92,	-1.0066e-26
3.94,	8.01217e-26
3.96,	1.25314e-26
3.98,	-2.69456e-25
4,	2.97557e-27
4.02,	9.01328e-25
4.04,	-7.40716e-26
4.06,	-3.02979e-24
4.08,	1.74512e-25
4.1,	1.02577e-23
4.12,	6.51537e-25
4.14,	-3.47597e-23
4.16,	-9.81605e-24
