xp, fint
0.25,0
0.35,0
0.45,0
0.55,0
0.65,0
0.75,0
0.85,0
0.95,0
1.05,0
1.15,0
1.25,0
1.35,0
1.45,0
1.55,0
1.65,0
1.75,0
1.85,0
1.95,9.99998e-13
2.05,1
2.15,1
2.25,1
2.35,1
2.45,1
2.55,1
2.65,1
2.75,1
2.85,1
2.95,1
3.05,1
3.15,1
3.25,1
3.35,1
3.45,1
3.55,1
3.65,1
3.75,1
3.85,1
3.95,1
4.05,9.99998e-13
4.15,0
4.25,0
4.35,0
4.45,0
4.55,0
4.65,0
4.75,0
4.85,0
4.95,0
5.05,0
5.15,0
5.25,0
5.35,0
5.45,0
5.55,0
5.65,0
5.75,0
5.85,0
5.95,0
6.05,0
6.15,0
6.25,0
6.35,0
6.45,0
6.55,0
6.65,0
6.75,0
6.85,0
6.95,0
7.05,0
7.15,0
7.25,0
7.35,0
7.45,0
7.55,0
7.65,0
7.75,0
7.85,0
7.95,0
8.05,0
8.15,0
8.25,0
8.35,0
8.45,0
8.55,0
8.65,0
8.75,0
8.85,0
8.95,0
9.05,0
9.15,0
9.25,0
9.35,0
9.45,0
9.55,0
9.65,0
9.75,0
9.85,0
