x, u
0,	1
0.015,	1
0.03,	1
0.045,	1
0.06,	1
0.075,	1
0.09,	1
0.105,	1
0.12,	1
0.135,	1
0.15,	1
0.165,	1
0.18,	1
0.195,	1
0.21,	1
0.225,	1
0.24,	1
0.255,	1
0.27,	1
0.285,	1
0.3,	1
0.315,	1
0.33,	1
0.345,	1
0.36,	1
0.375,	1
0.39,	1
0.405,	1
0.42,	1
0.435,	1
0.45,	1
0.465,	1
0.48,	1
0.495,	1
0.51,	1
0.525,	1
0.54,	1
0.555,	1
0.57,	1
0.585,	1
0.6,	1
0.615,	1
0.63,	1
0.645,	1
0.66,	1
0.675,	1
0.69,	1
0.705,	1
0.72,	1
0.735,	1
0.75,	1
0.765,	1
0.78,	1
0.795,	1
0.81,	1
0.825,	1
0.84,	1
0.855,	1
0.87,	1
0.885,	1
0.9,	1
0.915,	1
0.93,	1
0.945,	1
0.96,	1
0.975,	1
0.99,	1
1.005,	0
1.02,	0
1.035,	0
1.05,	0
1.065,	0
1.08,	0
1.095,	0
1.11,	0
1.125,	0
1.14,	0
1.155,	0
1.17,	0
1.185,	0
1.2,	0
1.215,	0
1.23,	0
1.245,	0
1.26,	0
1.275,	0
1.29,	0
1.305,	0
1.32,	0
1.335,	0
1.35,	0
1.365,	0
1.38,	0
1.395,	0
1.41,	0
1.425,	0
1.44,	0
1.455,	0
1.47,	0
1.485,	0
1.5,	0
1.515,	0
1.53,	0
1.545,	0
1.56,	0
1.575,	0
1.59,	0
1.605,	0
1.62,	0
1.635,	0
1.65,	0
1.665,	0
1.68,	0
1.695,	0
1.71,	0
1.725,	0
1.74,	0
1.755,	0
1.77,	0
1.785,	0
1.8,	0
1.815,	0
1.83,	0
1.845,	0
1.86,	0
1.875,	0
1.89,	0
1.905,	0
1.92,	0
1.935,	0
1.95,	0
1.965,	0
1.98,	0
1.995,	0
2.01,	0
2.025,	0
2.04,	0
2.055,	0
2.07,	0
2.085,	0
2.1,	0
2.115,	0
2.13,	0
2.145,	0
2.16,	0
2.175,	0
2.19,	0
2.205,	0
2.22,	0
2.235,	0
2.25,	0
2.265,	0
2.28,	0
2.295,	0
2.31,	0
2.325,	0
2.34,	0
2.355,	0
2.37,	0
2.385,	0
2.4,	0
2.415,	0
2.43,	0
2.445,	0
2.46,	0
2.475,	0
2.49,	0
2.505,	0
2.52,	0
2.535,	0
2.55,	0
2.565,	0
2.58,	0
2.595,	0
2.61,	0
2.625,	0
2.64,	0
2.655,	0
2.67,	0
2.685,	0
2.7,	0
2.715,	0
2.73,	0
2.745,	0
2.76,	0
2.775,	0
2.79,	0
2.805,	0
2.82,	0
2.835,	0
2.85,	0
2.865,	0
2.88,	0
2.895,	0
2.91,	0
2.925,	0
2.94,	0
2.955,	0
2.97,	0
2.985,	0
3,	0
3.015,	0
3.03,	0
3.045,	0
3.06,	0
3.075,	0
3.09,	0
3.105,	0
3.12,	0
3.135,	0
3.15,	0
3.165,	0
3.18,	0
3.195,	0
3.21,	0
3.225,	0
3.24,	0
3.255,	0
3.27,	0
3.285,	0
3.3,	0
3.315,	0
3.33,	0
3.345,	0
3.36,	0
3.375,	0
3.39,	0
3.405,	0
3.42,	0
3.435,	0
3.45,	0
3.465,	0
3.48,	0
3.495,	0
3.51,	0
3.525,	0
3.54,	0
3.555,	0
3.57,	0
3.585,	0
3.6,	0
3.615,	0
3.63,	0
3.645,	0
3.66,	0
3.675,	0
3.69,	0
3.705,	0
3.72,	0
3.735,	0
3.75,	0
3.765,	0
3.78,	0
3.795,	0
3.81,	0
3.825,	0
3.84,	0
3.855,	0
3.87,	0
3.885,	0
3.9,	0
3.915,	0
3.93,	0
3.945,	0
3.96,	0
3.975,	0
3.99,	0
4.005,	0
4.02,	0
4.035,	0
4.05,	0
4.065,	0
4.08,	0
4.095,	0
4.11,	0
4.125,	0
4.14,	0
4.155,	0
4.17,	0
4.185,	0
4.2,	0
4.215,	0
4.23,	0
4.245,	0
4.26,	0
4.275,	0
4.29,	0
4.305,	0
4.32,	0
4.335,	0
4.35,	0
4.365,	0
4.38,	0
4.395,	0
4.41,	0
4.425,	0
4.44,	0
4.455,	0
4.47,	0
4.485,	0
4.5,	0
4.515,	0
4.53,	0
4.545,	0
4.56,	0
4.575,	0
4.59,	0
4.605,	0
4.62,	0
4.635,	0
4.65,	0
4.665,	0
4.68,	0
4.695,	0
4.71,	0
4.725,	0
4.74,	0
4.755,	0
4.77,	0
4.785,	0
4.8,	0
4.815,	0
4.83,	0
4.845,	0
4.86,	0
4.875,	0
4.89,	0
4.905,	0
4.92,	0
4.935,	0
4.95,	0
4.965,	0
4.98,	0
4.995,	0
5.01,	0
5.025,	0
5.04,	0
5.055,	0
5.07,	0
5.085,	0
5.1,	0
5.115,	0
5.13,	0
5.145,	0
5.16,	0
5.175,	0
5.19,	0
5.205,	0
5.22,	0
5.235,	0
5.25,	0
5.265,	0
5.28,	0
5.295,	0
5.31,	0
5.325,	0
5.34,	0
5.355,	0
5.37,	0
5.385,	0
5.4,	0
5.415,	0
5.43,	0
5.445,	0
5.46,	0
5.475,	0
5.49,	0
5.505,	0
5.52,	0
5.535,	0
5.55,	0
5.565,	0
5.58,	0
5.595,	0
5.61,	0
5.625,	0
5.64,	0
5.655,	0
5.67,	0
