x, fx, sin(x)
0.392699, 0.383864, 0.382683
0.549779, 0.523624, 0.522499
0.706858, 0.650491, 0.649448
0.863938, 0.76134, 0.760406
1.02102, 0.853443, 0.85264
1.1781, 0.924531, 0.92388
1.33518, 0.972854, 0.97237
1.49226, 0.997222, 0.996917
1.64934, 0.997036, 0.996917
1.80642, 0.972299, 0.97237
1.9635, 0.92362, 0.92388
2.12058, 0.8522, 0.85264
2.27765, 0.759795, 0.760406
2.43473, 0.648681, 0.649448
2.59181, 0.521595, 0.522498
2.74889, 0.381665, 0.382683
2.90597, 0.232338, 0.233445
3.06305, 0.07729, 0.078459

