x, fx, sin(x)
0.392699, 0.382682, 0.382683
0.549779, 0.522498, 0.522499
0.706858, 0.649447, 0.649448
0.863938, 0.760405, 0.760406
1.02102, 0.85264, 0.85264
1.1781, 0.923879, 0.92388
1.33518, 0.97237, 0.97237
1.49226, 0.996917, 0.996917
1.64934, 0.996917, 0.996917
1.80642, 0.97237, 0.97237
1.9635, 0.92388, 0.92388
2.12058, 0.852641, 0.85264
2.27765, 0.760407, 0.760406
2.43473, 0.649449, 0.649448
2.59181, 0.522499, 0.522498
2.74889, 0.382684, 0.382683
2.90597, 0.233446, 0.233445
3.06305, 0.0723495, 0.078459

