xc, fc
0.15708, 1
0.219912, 1
0.282743, 1
0.345575, 1
0.408407, 1
0.471239, 1
0.534071, 1
0.596903, 1
0.659734, 1
0.722566, 1
0.785398, 1
0.84823, 1
0.911062, 1
0.973894, 1
1.03673, 1
1.09956, 1
1.16239, 1
1.22522, 1
1.28805, 1
1.35088, 1
1.41372, 1
1.47655, 1
1.53938, 0.5
1.60221, -9.41863e-14
1.66504, 7.03265e-15
1.72788, 0
1.79071, 0
1.85354, 0
1.91637, 0
1.9792, 0
2.04204, 0
2.10487, 0
2.1677, 0
2.23053, 0
2.29336, 0
2.35619, 0
2.41903, 0
2.48186, 0
2.54469, 0
2.60752, 0
2.67035, 0
2.73319, 0
2.79602, 0
2.85885, 0
2.92168, 0
2.98451, 0
3.04735, 0
3.11018, 0
3.17301, 0
3.23584, 0
3.29867, 0
3.3615, 0
3.42434, 0
3.48717, 0
3.55, 0
3.61283, 0
3.67566, 0
3.7385, 0
3.80133, 0
3.86416, 0
3.92699, 0
3.98982, 0
4.05265, 0
4.11549, 0
4.17832, 0
4.24115, 0
4.30398, 0
4.36681, 0
4.42965, 0
4.49248, 0
4.55531, 0
4.61814, 0
4.68097, 0
4.7438, 0
4.80664, 0
4.86947, 0
4.9323, 0
4.99513, 0
5.05796, 0
5.1208, 0
5.18363, 0
5.24646, 0
5.30929, 0
5.37212, 0
5.43496, 0
5.49779, 0
5.56062, 0
5.62345, 0
5.68628, 0
5.74911, 0
5.81195, 0
5.87478, 0
5.93761, 0
6.00044, 0
6.06327, 0
6.12611, 0
6.18894, 0
