xp,fint, fint_L, flux_ave
0.109956, 0, 0, 0
0.172788, 0, 0, 0
0.267035, 0, 0, 0
0.329867, 0, 0, 0
0.361283, 0, 0, 0
0.424115, 0, 0, 0
0.486947, 0, 0, 0
0.518363, 0, 0, 0
0.549779, 0, 0, 0
0.612611, 0, 0, 0
0.644027, 0, 0, 0
0.675442, 0, 0, 0
0.706858, 0, -0.0390625, -0.0195312
0.738274, -0.0390625, 0.429688, 0.195312
0.801106, 1.13281, 0.976562, 1.05469
0.832522, 0.976562, 1, 0.988281
0.863938, 1, 1, 1
0.895354, 1, 1, 1
0.958186, 1, 1, 1
0.989602, 1, 1, 1
1.02102, 1, 1, 1
1.05243, 1, 1, 1
1.08385, 1, 1, 1
1.11527, 1, 1, 1
1.14668, 1, 1, 1
1.20951, 1, 1, 1
1.24093, 1, 1, 1
1.27235, 1, 1, 1
1.30376, 1, 1, 1
1.33518, 1, 1, 1
1.36659, 1, 1, 1
1.39801, 1, 1, 1
1.42942, 1, 1, 1
1.46084, 1, 1, 1
1.49226, 1, 1, 1
1.55509, 1, 1, 1
1.5865, 1, 1, 1
1.61792, 1, 1, 1
1.64934, 1, 1, 1
1.68075, 1, 1, 1
1.71217, 1, 1, 1
1.74358, 1, 1, 1
1.775, 1, 1, 1
1.80642, 1, 1, 1
1.86925, 1, 1, 1
1.90066, 1, 1, 1
1.93208, 1, 1, 1
1.9635, 1, 1, 1
1.99491, 1, 1, 1
2.02633, 1, 1, 1
2.05774, 1, 1, 1
2.08916, 1, 1, 1
2.12058, 1, 1, 1
2.15199, 1, 1, 1
2.18341, 1, 1, 1
2.21482, 1, 1, 1
2.24624, 1, 1, 1
2.27765, 1, 1, 1
2.30907, 1, 1.03906, 1.01953
2.3719, 0.570312, -0.132812, 0.21875
2.40332, -0.132812, 0.0234375, -0.0546875
2.43473, 0.0234375, 0, 0.0117188
2.46615, 0, 0, 0
2.49757, 0, 0, 0
2.52898, 0, 0, 0
2.5604, 0, 0, 0
2.59181, 0, 0, 0
2.62323, 0, 0, 0
2.65465, 0, 0, 0
2.68606, 0, 0, 0
2.71748, 0, 0, 0
2.74889, 0, 0, 0
2.78031, 0, 0, 0
2.81173, 0, 0, 0
2.84314, 0, 0, 0
2.87456, 0, 0, 0
2.90597, 0, 0, 0
2.93739, 0, 0, 0
2.96881, 0, 0, 0
3.00022, 0, 0, 0
3.06305, 0, 0, 0
