x, fx
0,	0
0.024,	0
0.048,	0
0.072,	9.40678e-12
0.096,	1.54722e-11
0.12,	2.30081e-11
0.144,	3.40547e-11
0.168,	5.02978e-11
0.192,	7.40843e-11
0.216,	1.08809e-10
0.24,	1.59353e-10
0.264,	2.32706e-10
0.288,	3.38847e-10
0.312,	4.91974e-10
0.336,	7.12231e-10
0.36,	1.0281e-09
0.384,	1.47972e-09
0.408,	2.12349e-09
0.432,	3.0384e-09
0.456,	4.33467e-09
0.48,	6.16567e-09
0.504,	8.74406e-09
0.528,	1.23638e-08
0.552,	1.74296e-08
0.576,	2.44974e-08
0.6,	3.43276e-08
0.624,	4.7957e-08
0.648,	6.67948e-08
0.672,	9.2749e-08
0.696,	1.28395e-07
0.72,	1.77196e-07
0.744,	2.43794e-07
0.768,	3.34387e-07
0.792,	4.57224e-07
0.816,	6.23241e-07
0.84,	8.46889e-07
0.864,	1.14719e-06
0.888,	1.5491e-06
0.912,	2.08521e-06
0.936,	2.79798e-06
0.96,	3.74247e-06
0.984,	4.98984e-06
1.008,	6.63168e-06
1.032,	8.78545e-06
1.056,	1.16012e-05
1.08,	1.527e-05
1.104,	2.00337e-05
1.128,	2.6198e-05
1.152,	3.41471e-05
1.176,	4.43623e-05
1.2,	5.74438e-05
1.224,	7.41373e-05
1.248,	9.53651e-05
1.272,	0.000122263
1.296,	0.000156225
1.32,	0.000198953
1.344,	0.000252517
1.368,	0.000319421
1.392,	0.000402686
1.416,	0.000505936
1.44,	0.000633498
1.464,	0.000790518
1.488,	0.000983085
1.512,	0.00121837
1.536,	0.00150477
1.56,	0.00185209
1.584,	0.0022717
1.608,	0.00277669
1.632,	0.00338214
1.656,	0.00410522
1.68,	0.00496545
1.704,	0.00598487
1.728,	0.00718821
1.752,	0.00860307
1.776,	0.01026
1.8,	0.0121928
1.824,	0.0144383
1.848,	0.0170366
1.872,	0.020031
1.896,	0.0234677
1.92,	0.0273961
1.944,	0.031868
1.968,	0.0369373
1.992,	0.0426602
2.016,	0.0490936
2.04,	0.0562953
2.064,	0.0643229
2.088,	0.0732329
2.112,	0.0830797
2.136,	0.0939148
2.16,	0.105786
2.184,	0.118734
2.208,	0.132796
2.232,	0.147998
2.256,	0.164362
2.28,	0.181895
2.304,	0.200596
2.328,	0.220453
2.352,	0.24144
2.376,	0.263519
2.4,	0.286638
2.424,	0.310735
2.448,	0.33573
2.472,	0.361535
2.496,	0.388048
2.52,	0.415158
2.544,	0.442743
2.568,	0.470675
2.592,	0.498818
2.616,	0.527033
2.64,	0.55518
2.664,	0.583116
2.688,	0.610703
2.712,	0.637806
2.736,	0.664295
2.76,	0.69005
2.784,	0.71496
2.808,	0.738924
2.832,	0.761857
2.856,	0.783684
2.88,	0.804345
2.904,	0.823797
2.928,	0.842008
2.952,	0.858963
2.976,	0.87466
3,	0.889109
3.024,	0.902333
3.048,	0.914366
3.072,	0.92525
3.096,	0.935038
3.12,	0.943786
3.144,	0.951557
3.168,	0.958417
3.192,	0.964434
3.216,	0.969678
3.24,	0.974217
3.264,	0.978118
3.288,	0.981445
3.312,	0.98426
3.336,	0.986621
3.36,	0.988579
3.384,	0.990183
3.408,	0.991477
3.432,	0.992497
3.456,	0.993277
3.48,	0.993844
3.504,	0.994219
3.528,	0.994421
3.552,	0.99446
3.576,	0.994344
3.6,	0.994077
3.624,	0.993656
3.648,	0.993074
3.672,	0.992322
3.696,	0.991384
3.72,	0.990242
3.744,	0.988873
3.768,	0.98725
3.792,	0.985342
3.816,	0.983114
3.84,	0.980529
3.864,	0.977544
3.888,	0.974114
3.912,	0.97019
3.936,	0.965721
3.96,	0.960654
3.984,	0.954933
4.008,	0.9485
4.032,	0.941299
4.056,	0.933272
4.08,	0.924363
4.104,	0.914516
4.128,	0.903681
4.152,	0.89181
4.176,	0.878862
4.2,	0.864801
4.224,	0.849598
4.248,	0.833235
4.272,	0.815702
4.296,	0.797
4.32,	0.777143
4.344,	0.756156
4.368,	0.734077
4.392,	0.710958
4.416,	0.686862
4.44,	0.661866
4.464,	0.636062
4.488,	0.609548
4.512,	0.582438
4.536,	0.554853
4.56,	0.526922
4.584,	0.498778
4.608,	0.470563
4.632,	0.442416
4.656,	0.41448
4.68,	0.386893
4.704,	0.35979
4.728,	0.333301
4.752,	0.307546
4.776,	0.282636
4.8,	0.258671
4.824,	0.235738
4.848,	0.213911
4.872,	0.193249
4.896,	0.173796
4.92,	0.155584
4.944,	0.138628
4.968,	0.12293
4.992,	0.108479
5.016,	0.0952529
5.04,	0.0832172
5.064,	0.0723287
5.088,	0.0625364
5.112,	0.0537822
5.136,	0.0460031
5.16,	0.0391327
5.184,	0.033102
5.208,	0.0278413
5.232,	0.0232811
5.256,	0.0193533
5.28,	0.0159919
5.304,	0.0131339
5.328,	0.01072
5.352,	0.0086948
5.376,	0.00700713
5.4,	0.00561039
5.424,	0.00446242
5.448,	0.00352556
5.472,	0.00276642
5.496,	0.00215574
5.52,	0.00166806
5.544,	0.00128152
5.568,	0.00097743
5.592,	0.000740033
5.616,	0.00055613
5.64,	0.00041478
5.664,	0.000306994
5.688,	0.000225459
5.712,	0.000164279
5.736,	0.000118747
5.76,	8.5141e-05
5.784,	6.05455e-05
5.808,	4.26976e-05
5.832,	2.98575e-05
5.856,	2.07007e-05
5.88,	1.42281e-05
5.904,	9.69366e-06
5.928,	6.54571e-06
5.952,	4.38024e-06
5.976,	2.90439e-06
6,	1.90796e-06
6.024,	1.24158e-06
6.048,	8.00227e-07
6.072,	5.10755e-07
6.096,	3.22778e-07
6.12,	2.01935e-07
6.144,	1.25042e-07
6.168,	7.66229e-08
6.192,	4.64548e-08
6.216,	2.786e-08
6.24,	1.6524e-08
6.264,	9.69015e-09
6.288,	5.61721e-09
6.312,	3.2179e-09
6.336,	1.82124e-09
6.36,	1.01806e-09
6.384,	5.61904e-10
6.408,	3.06115e-10
6.432,	1.64546e-10
6.456,	8.72377e-11
6.48,	4.55992e-11
6.504,	2.34884e-11
6.528,	1.19175e-11
6.552,	5.95279e-12
6.576,	2.92559e-12
6.6,	1.4138e-12
6.624,	6.71334e-13
6.648,	3.12985e-13
6.672,	1.43138e-13
6.696,	6.41506e-14
6.72,	2.81418e-14
6.744,	1.20676e-14
6.768,	5.05024e-15
6.792,	2.05865e-15
6.816,	8.15454e-16
6.84,	3.12932e-16
6.864,	1.15883e-16
6.888,	4.11886e-17
6.912,	1.39431e-17
6.936,	4.44198e-18
6.96,	1.3048e-18
6.984,	3.39217e-19
7.008,	7.00642e-20
7.032,	6.41062e-21
7.056,	-3.79387e-21
7.08,	-3.08307e-21
7.104,	-1.48941e-21
7.128,	-5.74847e-22
7.152,	-1.86631e-22
7.176,	-4.99117e-23
7.2,	-9.60039e-24
7.224,	-3.04269e-25
7.248,	8.51178e-25
7.272,	5.27499e-25
7.296,	2.13647e-25
7.32,	6.63057e-26
7.344,	1.50814e-26
7.368,	1.53166e-27
7.392,	-7.13826e-28
7.416,	-5.49826e-28
7.44,	-2.25875e-28
7.464,	-6.5643e-29
7.488,	-1.21397e-29
7.512,	1.92876e-31
7.536,	1.31302e-30
7.56,	6.59463e-31
7.584,	2.07871e-31
7.608,	4.06385e-32
7.632,	1.35942e-34
7.656,	-3.85722e-33
7.68,	-1.90334e-33
7.704,	-5.55346e-34
7.728,	-8.63105e-35
7.752,	1.11999e-35
7.776,	1.32935e-35
7.8,	5.12779e-36
7.824,	1.13053e-36
7.848,	4.52929e-38
7.872,	-8.18929e-38
7.896,	-4.03304e-38
7.92,	-1.03679e-38
7.944,	-9.25758e-40
7.968,	5.11921e-40
7.992,	2.96686e-40
8.016,	7.97759e-41
8.04,	7.56981e-42
8.064,	-3.67561e-42
8.088,	-2.11876e-42
8.112,	-5.40901e-43
8.136,	-4.2039e-44
8.16,	2.38221e-44
8.184,	9.80909e-45
8.208,	-2.8026e-45
8.232,	-4.2039e-45
8.256,	-4.2039e-45
8.28,	-1.4013e-45
8.304,	-2.8026e-45
