x, fx
0,	0
0.024,	0
0.048,	0
0.072,	0
0.096,	0
0.12,	0
0.144,	0
0.168,	0
0.192,	0
0.216,	0
0.24,	0
0.264,	0
0.288,	0
0.312,	0
0.336,	0
0.36,	0
0.384,	0
0.408,	0
0.432,	0
0.456,	0
0.48,	0
0.504,	0
0.528,	0
0.552,	0
0.576,	0
0.6,	0
0.624,	0
0.648,	0
0.672,	0
0.696,	0
0.72,	0
0.744,	0
0.768,	0
0.792,	0
0.816,	0
0.84,	0
0.864,	0
0.888,	0
0.912,	0
0.936,	0
0.96,	0
0.984,	0
1.008,	0
1.032,	0
1.056,	0
1.08,	0
1.104,	0
1.128,	0
1.152,	1.4013e-45
1.176,	1.4013e-45
1.2,	-1.4013e-45
1.224,	1.4013e-45
1.248,	1.4013e-45
1.272,	0
1.296,	-1.4013e-45
1.32,	4.2039e-45
1.344,	-1.4013e-45
1.368,	5.60519e-45
1.392,	-1.4013e-45
1.416,	0
1.44,	8.40779e-45
1.464,	-1.54143e-44
1.488,	2.66247e-44
1.512,	-3.22299e-44
1.536,	3.50325e-44
1.56,	-2.10195e-44
1.584,	-2.24208e-44
1.608,	1.02295e-43
1.632,	-2.17201e-43
1.656,	3.61535e-43
1.68,	-4.9606e-43
1.704,	5.67526e-43
1.728,	-4.86251e-43
1.752,	2.18603e-43
1.776,	2.39622e-43
1.8,	-6.92241e-43
1.824,	7.03452e-43
1.848,	4.93257e-43
1.872,	-3.93765e-42
1.896,	1.07255e-41
1.92,	-2.15366e-41
1.944,	3.59461e-41
1.968,	-5.16589e-41
1.992,	6.39987e-41
2.016,	-6.61511e-41
2.04,	5.05238e-41
2.064,	-1.145e-41
2.088,	-5.15271e-41
2.112,	1.31286e-40
2.136,	-2.14429e-40
2.16,	2.89295e-40
2.184,	-3.62735e-40
2.208,	4.85195e-40
2.232,	-7.80316e-40
2.256,	1.47205e-39
2.28,	-2.90342e-39
2.304,	5.54543e-39
2.328,	-1.00018e-38
2.352,	1.70124e-38
2.376,	-2.74298e-38
2.4,	4.20692e-38
2.424,	-6.12118e-38
2.448,	8.34115e-38
2.472,	-1.03215e-37
2.496,	1.07618e-37
2.52,	-7.17306e-38
2.544,	-4.47237e-38
2.568,	2.96903e-37
2.592,	-7.45768e-37
2.616,	1.43552e-36
2.64,	-2.3545e-36
2.664,	3.38134e-36
2.688,	-4.22625e-36
2.712,	4.38725e-36
2.736,	-3.14959e-36
2.76,	-3.4015e-37
2.784,	6.90117e-36
2.808,	-1.70444e-35
2.832,	3.06297e-35
2.856,	-4.65297e-35
2.88,	6.24071e-35
2.904,	-7.4707e-35
2.928,	7.88879e-35
2.952,	-6.97592e-35
2.976,	4.1591e-35
3,	1.24218e-35
3.024,	-1.01481e-34
3.048,	2.38505e-34
3.072,	-4.38992e-34
3.096,	7.13023e-34
3.12,	-1.04504e-33
3.144,	1.35812e-33
3.168,	-1.46688e-33
3.192,	1.03643e-33
3.216,	4.17379e-34
3.24,	-3.43633e-33
3.264,	8.38462e-33
3.288,	-1.5043e-32
3.312,	2.2069e-32
3.336,	-2.64686e-32
3.36,	2.33682e-32
3.384,	-6.51437e-33
3.408,	-3.00173e-32
3.432,	8.85821e-32
3.456,	-1.634e-31
3.48,	2.35831e-31
3.504,	-2.71931e-31
3.528,	2.25841e-31
3.552,	-5.25008e-32
3.576,	-2.68875e-31
3.6,	7.04135e-31
3.624,	-1.13701e-30
3.648,	1.36305e-30
3.672,	-1.12429e-30
3.696,	1.96296e-31
3.72,	1.48419e-30
3.744,	-3.6974e-30
3.768,	5.90373e-30
3.792,	-7.37001e-30
3.816,	7.46336e-30
3.84,	-5.95689e-30
3.864,	3.0077e-30
3.888,	1.5582e-30
3.912,	-9.62643e-30
3.936,	2.58847e-29
3.96,	-5.65633e-29
3.984,	1.03641e-28
4.008,	-1.54752e-28
4.032,	1.74746e-28
4.056,	-1.11595e-28
4.08,	-6.95885e-29
4.104,	3.24483e-28
4.128,	-4.72296e-28
4.152,	2.15228e-28
4.176,	6.84589e-28
4.2,	-2.0609e-27
4.224,	2.99294e-27
4.248,	-1.81445e-27
4.272,	-3.09784e-27
4.296,	1.16636e-26
4.32,	-2.02524e-26
4.344,	2.12407e-26
4.368,	-5.81098e-27
4.392,	-2.93898e-26
4.416,	7.38199e-26
4.44,	-9.78369e-26
4.464,	5.67099e-26
4.488,	9.21552e-26
4.512,	-3.58758e-25
4.536,	6.81519e-25
4.56,	-8.9264e-25
4.584,	7.18985e-25
4.608,	1.25586e-25
4.632,	-1.70486e-24
4.656,	3.52667e-24
4.68,	-4.36595e-24
4.704,	2.68332e-24
4.728,	2.08327e-24
4.752,	-7.82617e-24
4.776,	9.16615e-24
4.8,	3.71711e-25
4.824,	-2.33932e-23
4.848,	5.37668e-23
4.872,	-7.57785e-23
4.896,	6.76278e-23
4.92,	-4.21588e-24
4.944,	-1.43004e-22
4.968,	3.94079e-22
4.992,	-7.06225e-22
5.016,	8.74535e-22
5.04,	-4.78455e-22
5.064,	-9.42928e-22
5.088,	3.37606e-21
5.112,	-5.71586e-21
5.136,	5.71877e-21
5.16,	-1.17862e-21
5.184,	-7.94276e-21
5.208,	1.81028e-20
5.232,	-2.35293e-20
5.256,	2.02968e-20
5.28,	-9.39057e-21
5.304,	-6.25589e-21
5.328,	3.02639e-20
5.352,	-7.54388e-20
5.376,	1.44067e-19
5.4,	-1.86003e-19
5.424,	7.51773e-20
5.448,	3.22741e-19
5.472,	-9.58713e-19
5.496,	1.40119e-18
5.52,	-9.15467e-19
5.544,	-9.50486e-19
5.568,	3.53733e-18
5.592,	-4.94278e-18
5.616,	3.50113e-18
5.64,	-2.47491e-19
5.664,	-5.62078e-19
5.688,	-4.04115e-18
5.712,	7.83371e-18
5.736,	6.688e-18
5.76,	-5.3366e-17
5.784,	1.1168e-16
5.808,	-1.06536e-16
5.832,	-5.76908e-17
5.856,	3.86564e-16
5.88,	-6.66271e-16
5.904,	4.77446e-16
5.928,	4.82809e-16
5.952,	-1.85881e-15
5.976,	2.41989e-15
6,	-8.78734e-16
6.024,	-2.34061e-15
6.048,	4.04326e-15
6.072,	-2.40142e-16
6.096,	-8.60176e-15
6.12,	1.30168e-14
6.144,	2.53031e-15
6.168,	-4.4672e-14
6.192,	8.86807e-14
6.216,	-6.99048e-14
6.24,	-7.53847e-14
6.264,	3.0945e-13
6.288,	-4.16015e-13
6.312,	1.1008e-13
6.336,	6.25096e-13
6.36,	-1.26734e-12
6.384,	9.80137e-13
6.408,	6.54192e-13
6.432,	-2.86687e-12
6.456,	3.2634e-12
6.48,	1.31731e-12
6.504,	-1.01674e-11
6.528,	1.34835e-11
6.552,	3.02221e-12
6.576,	-4.2241e-11
6.6,	6.37114e-11
6.624,	-1.27682e-11
6.648,	-3.55255e-11
6.672,	1.83814e-10
6.696,	-4.78429e-10
6.72,	-4.49583e-10
6.744,	3.05316e-10
6.768,	1.21448e-09
6.792,	7.89564e-09
6.816,	1.08858e-08
6.84,	-1.77101e-08
6.864,	-9.31909e-08
6.888,	-1.73043e-07
6.912,	-3.95113e-09
6.936,	8.35377e-07
6.96,	2.10043e-06
6.984,	1.91867e-06
7.008,	-3.19534e-06
7.032,	-1.59482e-05
7.056,	-3.22837e-05
7.08,	-3.48839e-05
7.104,	7.71215e-06
7.128,	0.000149879
7.152,	0.000530162
7.176,	0.00125628
7.2,	0.00255697
7.224,	0.00530757
7.248,	0.00965723
7.272,	0.0175149
7.296,	0.0319576
7.32,	0.0541621
7.344,	0.0941762
7.368,	0.155393
7.392,	0.250274
7.416,	0.38289
7.44,	0.54568
7.464,	0.710453
7.488,	0.848016
7.512,	0.938798
7.536,	0.973299
7.56,	0.987532
7.584,	0.993846
7.608,	0.99667
7.632,	0.997906
7.656,	0.998439
7.68,	0.998665
7.704,	0.998757
7.728,	0.99879
7.752,	0.998798
7.776,	0.998796
7.8,	0.998792
7.824,	0.998789
7.848,	0.998789
7.872,	0.998788
7.896,	0.998788
7.92,	0.998788
