x, fx
0,	0
0.012,	0
0.024,	0
0.036,	0
0.048,	0
0.06,	0
0.072,	0
0.084,	0
0.096,	0
0.108,	0
0.12,	1.4013e-45
0.132,	0
0.144,	1.4013e-45
0.156,	0
0.168,	1.4013e-45
0.18,	0
0.192,	1.4013e-45
0.204,	-1.4013e-45
0.216,	-1.4013e-45
0.228,	1.4013e-45
0.24,	1.4013e-45
0.252,	2.8026e-45
0.264,	2.8026e-45
0.276,	2.8026e-45
0.288,	2.8026e-45
0.3,	2.8026e-45
0.312,	2.8026e-45
0.324,	2.8026e-45
0.336,	2.8026e-45
0.348,	2.8026e-45
0.36,	2.8026e-45
0.372,	2.8026e-45
0.384,	2.8026e-45
0.396,	2.8026e-45
0.408,	2.8026e-45
0.42,	1.4013e-45
0.432,	1.4013e-45
0.444,	1.4013e-45
0.456,	1.4013e-45
0.468,	1.4013e-45
0.48,	1.4013e-45
0.492,	1.4013e-45
0.504,	1.4013e-45
0.516,	1.4013e-45
0.528,	1.4013e-45
0.54,	1.4013e-45
0.552,	0
0.564,	1.4013e-45
0.576,	0
0.588,	0
0.6,	0
0.612,	0
0.624,	1.4013e-45
0.636,	1.4013e-45
0.648,	1.4013e-45
0.66,	1.4013e-45
0.672,	1.4013e-45
0.684,	1.4013e-45
0.696,	2.8026e-45
0.708,	4.2039e-45
0.72,	4.2039e-45
0.732,	5.60519e-45
0.744,	5.60519e-45
0.756,	2.8026e-45
0.768,	2.8026e-45
0.78,	2.8026e-45
0.792,	5.60519e-45
0.804,	5.60519e-45
0.816,	5.60519e-45
0.828,	5.60519e-45
0.84,	5.60519e-45
0.852,	5.60519e-45
0.864,	5.60519e-45
0.876,	5.60519e-45
0.888,	5.60519e-45
0.9,	5.60519e-45
0.912,	5.60519e-45
0.924,	5.60519e-45
0.936,	5.60519e-45
0.948,	5.60519e-45
0.96,	5.60519e-45
0.972,	5.60519e-45
0.984,	5.60519e-45
0.996,	5.60519e-45
1.008,	5.60519e-45
1.02,	5.60519e-45
1.032,	5.60519e-45
1.044,	5.60519e-45
1.056,	5.60519e-45
1.068,	5.60519e-45
1.08,	5.60519e-45
1.092,	5.60519e-45
1.104,	5.60519e-45
1.116,	5.60519e-45
1.128,	5.60519e-45
1.14,	5.60519e-45
1.152,	5.60519e-45
1.164,	7.00649e-45
1.176,	8.40779e-45
1.188,	1.4013e-45
1.2,	-1.4013e-45
1.212,	1.26117e-44
1.224,	1.96182e-44
1.236,	0
1.248,	-2.8026e-45
1.26,	3.22299e-44
1.272,	8.40779e-45
1.284,	-3.78351e-44
1.296,	3.50325e-44
1.308,	7.14662e-44
1.32,	-8.12753e-44
1.332,	-6.30584e-44
1.344,	1.77965e-43
1.356,	2.24208e-44
1.368,	-3.04082e-43
1.38,	1.38729e-43
1.392,	4.37205e-43
1.404,	-4.93257e-43
1.416,	-4.94658e-43
1.428,	1.11263e-42
1.44,	2.60642e-43
1.452,	-2.03328e-42
1.464,	6.48801e-43
1.476,	3.20617e-42
